Category,Diagnosis,Symptoms
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Dizziness, Frequent urination, Pain or burning on urination, Pelvic pain"
Chronic,Type 2 Diabetes,"Blurry vision, Body aches, Excessive thirst, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Urological,Kidney Stone,"Malaise, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,COVID-19,"Dizziness, Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Shortness of breath"
Infectious,Influenza (Flu),"Body aches, Dizziness, Dry cough, Fatigue, High fever, Runny nose, Sore throat"
Acute/Surgical,Appendicitis,"Abdominal swelling, Body aches, Fatigue, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Chronic,Hypertension,"Dizziness, Headaches, Loss of appetite, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath"
Allergy,Allergic Rhinitis (Hay Fever),"Itchy, watery eyes, Nasal congestion, Nausea, Runny nose, Sneezing, Weakness"
Neurological,Migraine,"Body aches, Dizziness, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Chronic,Hypertension,"Body aches, Dizziness, Fatigue, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Neurological,Migraine,"Dizziness, Malaise, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting, Weakness"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Nausea, Shortness of breath, Wheezing"
Urological,Kidney Stone,"Fatigue, Headache, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back, Weakness"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Neurological,Migraine,"Fatigue, Loss of appetite, Malaise, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Acute/Surgical,Appendicitis,"Abdominal swelling, Body aches, Chills, Fever, Loss of appetite, Malaise, Nausea, Pain in lower right abdomen, Vomiting"
Neurological,Migraine,"Chills, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting, Weakness"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Dizziness, Fever, Malaise"
Allergy,Allergic Rhinitis (Hay Fever),"Body aches, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Chills, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Allergy,Allergic Rhinitis (Hay Fever),"Chills, Headache, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing, Weakness"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Weakness"
Neurological,Migraine,"Loss of appetite, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Dizziness, Fatigue, Inability to bear weight, Severe leg pain, Swelling, Visible deformity, Weakness"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Fever, Shortness of breath, Wheezing"
Infectious,Influenza (Flu),"Body aches, Chills, Dry cough, High fever, Runny nose, Sore throat"
Neurological,Migraine,"Fever, Malaise, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Chronic,Hypertension,"Body aches, Dizziness, Headache, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Influenza (Flu),"Body aches, Chills, Dry cough, Fever, Headache, High fever, Runny nose, Sore throat"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Fatigue, Malaise, Nausea, Stomach cramps, Vomiting"
Infectious,Pneumonia,"Body aches, Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever"
Urological,Kidney Stone,"Body aches, Fatigue, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Urological,Kidney Stone,"Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back, Weakness"
Infectious,Strep Throat,"Body aches, Dizziness, Fever, Malaise, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Malaise, Pain or burning on urination, Pelvic pain"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Fatigue, Headache, Shortness of breath, Wheezing"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Loss of appetite, Shortness of breath, Wheezing"
Chronic,Hypertension,"Body aches, Chills, Dizziness, Fever, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Headache, Joint pain, Joint stiffness (worse in morning), Swollen joints, Weakness"
Chronic,Asthma,"Chest tightness, Chills, Coughing (especially at night), Fatigue, Loss of appetite, Shortness of breath, Wheezing"
Allergy,Allergic Rhinitis (Hay Fever),"Fever, Headache, Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing"
Chronic,Hypertension,"Dizziness, Fever, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath, Weakness"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Allergy,Allergic Rhinitis (Hay Fever),"Body aches, Headache, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Infectious,Urinary Tract Infection (UTI),"Body aches, Cloudy or strong-smelling urine, Frequent urination, Nausea, Pain or burning on urination, Pelvic pain"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fatigue, Inability to bear weight, Nausea, Swelling, Tenderness to touch"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Chills, Fever, Inability to bear weight, Swelling, Tenderness to touch"
Musculoskeletal,Rheumatoid Arthritis,"Dizziness, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Frequent urination, Headache, Increased hunger, Malaise, Slow-healing sores, Unexplained weight loss"
Infectious,Strep Throat,"Fever, Malaise, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,COVID-19,"Body aches, Dry cough, Fatigue, Fever, Loss of taste or smell, Nausea, Shortness of breath"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Runny nose, Sore throat"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Malaise, Runny nose, Sore throat"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Fever, Nausea, Stomach cramps, Vomiting"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Malaise, Swollen joints"
Acute/Surgical,Appendicitis,"Abdominal swelling, Chills, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Loss of appetite, Runny nose, Sore throat"
Urological,Kidney Stone,"Headache, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Acute/Surgical,Appendicitis,"Abdominal swelling, Chills, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Allergy,Allergic Rhinitis (Hay Fever),"Body aches, Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Inability to bear weight, Nausea, Severe leg pain, Swelling, Visible deformity, Weakness"
Chronic,Hypertension,"Dizziness, Fever, Headaches, Loss of appetite, Nosebleeds, Often asymptomatic, Shortness of breath"
Chronic,Type 2 Diabetes,"Blurry vision, Chills, Excessive thirst, Frequent urination, Increased hunger, Loss of appetite, Malaise, Slow-healing sores, Unexplained weight loss"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Dizziness, Inability to bear weight, Nausea, Severe leg pain, Swelling, Visible deformity"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fever, Frequent urination, Headache, Increased hunger, Slow-healing sores, Unexplained weight loss"
Infectious,Urinary Tract Infection (UTI),"Body aches, Cloudy or strong-smelling urine, Frequent urination, Headache, Malaise, Pain or burning on urination, Pelvic pain"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Fatigue, Headache, Inability to bear weight, Malaise, Severe leg pain, Swelling, Visible deformity"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Dizziness, Inability to bear weight, Malaise, Severe leg pain, Swelling, Visible deformity"
Neurological,Migraine,"Fatigue, Malaise, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Headache, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Chills, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Infectious,Strep Throat,"Fever, Headache, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Dizziness, Fatigue, Inability to bear weight, Malaise, Severe leg pain, Swelling, Visible deformity"
Neurological,Migraine,"Chills, Fever, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Influenza (Flu),"Body aches, Dizziness, Dry cough, Fever, High fever, Runny nose, Sore throat"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fatigue, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Strep Throat,"Chills, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Nausea, Stomach cramps, Vomiting, Weakness"
Infectious,Strep Throat,"Fever, Headache, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fatigue, Inability to bear weight, Swelling, Tenderness to touch, Weakness"
Allergy,Allergic Rhinitis (Hay Fever),"Fatigue, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing, Weakness"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Fever, Shortness of breath, Weakness, Wheezing"
Chronic,Type 2 Diabetes,"Blurry vision, Body aches, Chills, Excessive thirst, Fatigue, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Nausea, Stomach cramps, Vomiting, Weakness"
Infectious,Influenza (Flu),"Body aches, Dry cough, Fatigue, Fever, High fever, Runny nose, Sore throat"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fever, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss, Weakness"
Chronic,Hypertension,"Dizziness, Fatigue, Headaches, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath"
Neurological,Migraine,"Headache, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Chronic,Hypertension,"Dizziness, Fatigue, Headaches, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath"
Chronic,Type 2 Diabetes,"Blurry vision, Chills, Dizziness, Excessive thirst, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Infectious,Strep Throat,"Dizziness, Fever, Malaise, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Urological,Kidney Stone,"Loss of appetite, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,COVID-19,"Body aches, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Musculoskeletal,Rheumatoid Arthritis,"Chills, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Neurological,Migraine,"Chills, Fatigue, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fatigue, Fever"
Infectious,Urinary Tract Infection (UTI),"Body aches, Cloudy or strong-smelling urine, Dizziness, Fatigue, Frequent urination, Pain or burning on urination, Pelvic pain"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Dizziness, Frequent urination, Loss of appetite, Pain or burning on urination, Pelvic pain, Weakness"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Shortness of breath, Weakness, Wheezing"
Musculoskeletal,Tibial/Fibular Fracture,"Body aches, Bruising, Fatigue, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Urological,Kidney Stone,"Dizziness, Headache, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Type 2 Diabetes,"Blurry vision, Body aches, Excessive thirst, Fever, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fatigue, Nausea, Stomach cramps, Vomiting"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Dizziness, Fatigue, Inability to bear weight, Swelling, Tenderness to touch, Weakness"
Neurological,Migraine,"Body aches, Dizziness, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Nausea, Stomach cramps, Vomiting"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fatigue, Fever, Headache"
Allergy,Allergic Rhinitis (Hay Fever),"Body aches, Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing"
Allergy,Allergic Rhinitis (Hay Fever),"Headache, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Allergy,Allergic Rhinitis (Hay Fever),"Fatigue, Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing, Weakness"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Dizziness, Fever, Inability to bear weight, Swelling, Tenderness to touch"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Fever, Malaise, Nausea, Stomach cramps, Vomiting"
Neurological,Migraine,"Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Body aches, Diarrhea, Fever, Nausea, Stomach cramps, Vomiting"
Infectious,Strep Throat,"Fever, Headache, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Musculoskeletal,Tibial/Fibular Fracture,"Body aches, Bruising, Dizziness, Fatigue, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Infectious,COVID-19,"Body aches, Dry cough, Fatigue, Fever, Loss of taste or smell, Nausea, Shortness of breath"
Chronic,Type 2 Diabetes,"Blurry vision, Body aches, Chills, Excessive thirst, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss, Weakness"
Musculoskeletal,Tibial/Fibular Fracture,"Body aches, Bruising, Fever, Inability to bear weight, Nausea, Severe leg pain, Swelling, Visible deformity"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fatigue, Loss of appetite, Nausea, Stomach cramps, Vomiting"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Frequent urination, Headache, Increased hunger, Slow-healing sores, Unexplained weight loss"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Headache, Nausea, Stomach cramps, Vomiting"
Urological,Kidney Stone,"Fever, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Frequent urination, Increased hunger, Loss of appetite, Slow-healing sores, Unexplained weight loss"
Infectious,Strep Throat,"Chills, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
